,id,JPEG_size,CONTOUR_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND,CONTOUR_CONGESTION
95,208945,101243,0.0128,2.1209,2.3311,0.6351,0.4617
96,209509,92767,0.0092,1.8666,2.2563,0.8043,0.4946
97,210328,121112,0.014,2.2646,2.8749,0.749,0.4417
98,211230,84142,0.0115,2.0089,1.9379,0.6338,0.4552
99,212075,77946,0.0072,1.6002,1.9997,0.7782,0.3136
100,212117,91704,0.0082,1.8369,2.2554,0.8007,0.5007
101,213426,98265,0.0091,2.0407,2.2943,0.7919,0.4628
102,214364,110854,0.0074,2.3396,2.3929,0.8639,0.4533
103,216600,90567,0.0129,1.9494,2.4385,0.7407,0.4861
104,2169419,69374,0.007,1.9747,1.8467,0.6679,0.3799
105,2169553,67738,0.0069,1.7597,1.7923,0.7858,0.3652
106,2169591,55247,0.0039,1.3133,1.6622,0.7465,0.3469
107,2169630,81331,0.0073,2.3378,2.0239,0.7573,0.4441
108,218955,81750,0.0113,1.8133,1.9933,0.671,0.457
109,219055,108732,0.0164,2.3378,2.4088,0.6786,0.4229
110,219686,100552,0.0141,2.1626,2.2876,0.6951,0.4904
111,2207386,108997,0.014,2.3171,2.2364,0.688,0.6098
112,2207437,103004,0.0133,2.5906,2.1139,0.6896,0.4476
113,2217803,108467,0.0145,2.2579,2.7206,0.6722,0.4354
114,222162,93000,0.0086,1.7,2.1192,0.8013,0.6421
115,222203,82003,0.0104,1.8383,1.8708,0.6915,0.4736
116,222363,88237,0.0078,1.9216,2.1938,0.7706,0.3575
117,2226174,83765,0.01,1.9324,2.0669,0.6155,0.4243
118,222766,82512,0.007,1.8283,2.136,0.7714,0.3827
119,224856,93944,0.0117,2.1072,2.2409,0.593,0.3543
120,2254046,81076,0.0072,1.7079,2.0956,0.7582,0.4751
121,226103,97036,0.0127,2.1209,2.1068,0.6816,0.4161
122,2270521,116060,0.0127,2.4511,2.3631,0.8151,0.4702
123,228063,88766,0.0157,2.2847,2.3501,0.7128,0.4613
124,2293917,93137,0.0114,2.1702,2.1965,0.6681,0.5216
125,2296129,88998,0.0105,2.0707,2.0872,0.7243,0.5337
126,2305340,63104,0.0058,1.7573,1.6899,0.7888,0.2259
127,2305381,59644,0.0036,1.535,1.7227,0.7816,0.2655
128,2317621,110387,0.0157,2.2564,2.6816,0.7192,0.5941
129,2322688,103024,0.0124,2.308,2.4013,0.6574,0.5478
130,2326996,143376,0.0185,2.5188,2.8294,0.7125,0.4914
131,2330930,97066,0.0114,2.2854,1.9146,0.6871,0.401
132,233873,148505,0.0186,1.8584,2.3917,0.6792,0.5815
133,2340959,112710,0.0162,2.4437,2.685,0.712,0.4841
134,2346509,117697,0.0141,2.6832,2.5301,0.7441,0.4884
135,235193,152263,0.0191,1.8268,2.4303,0.6527,0.6355
136,236062,119207,0.0201,1.8834,2.408,0.6526,0.6074
137,2368385,67257,0.0065,1.5259,1.8436,0.6834,0.4266
138,2368423,82900,0.0069,2.0735,1.9477,0.8657,0.2549
139,2375920,131921,0.0173,2.7614,2.806,0.7178,0.5843
140,237790,118485,0.0182,2.6392,2.8678,0.6866,0.4866
141,2383641,101196,0.0093,2.2609,2.2202,0.8361,0.5011
142,239782,52552,0.0032,1.3061,1.6371,0.8525,0.2987
143,239797,48878,0.0038,1.4615,1.6439,0.7493,0.1663
144,2399020,120519,0.0184,2.6273,3.0432,0.6625,0.5734
145,2399156,105968,0.0134,2.3139,2.6362,0.7099,0.4931
146,241758,87332,0.0117,2.277,2.4732,0.7426,0.3088
147,241943,120439,0.0144,2.8531,2.8285,0.7971,0.3944
148,243985,122931,0.0127,2.3813,2.6094,0.7403,0.4385
149,246430,46415,0.0022,1.5623,1.6077,0.7764,0.1642
150,246585,60250,0.0035,1.7953,1.6892,0.796,0.2788
151,246626,78922,0.0119,2.0843,2.1316,0.6807,0.6238
152,251561,112537,0.0108,2.2335,2.4237,0.7277,0.3882
153,251610,118136,0.0161,2.3349,2.3711,0.7015,0.5014
154,252446,100304,0.0083,1.994,2.1363,0.7555,0.4335
155,254745,61824,0.0044,1.4889,1.8488,0.892,0.4341
156,254787,53099,0.0052,1.5493,1.6915,0.612,0.2253
157,256543,76469,0.0101,2.0349,2.1418,0.7347,0.5048
158,256802,76179,0.0123,2.4566,2.0547,0.7005,0.5623
159,263842,100090,0.0101,1.7805,2.1453,0.7207,0.6424
160,263885,98492,0.0103,1.9069,2.1664,0.6783,0.5443
161,265406,75858,0.0095,2.0535,2.0263,0.7426,0.4438
162,265607,67979,0.0085,1.8133,2.0095,0.6127,0.2903
163,267364,86351,0.0099,2.0595,2.2269,0.7383,0.5487
164,269638,86806,0.0104,2.0973,2.1742,0.7406,0.346
165,273307,110168,0.0121,2.6332,2.6844,0.791,0.405
166,277388,94468,0.0133,2.2428,2.7041,0.754,0.551
167,277942,100995,0.0122,2.0812,2.6707,0.769,0.5425
168,278045,98007,0.0115,2.2109,2.5661,0.8102,0.4815
169,278079,107100,0.0154,2.163,2.8719,0.6607,0.609
170,279011,61051,0.0076,1.7194,1.998,0.8036,0.4957
171,280058,105832,0.0137,2.6475,2.6764,0.8209,0.4665
172,280462,116681,0.0212,2.6291,2.9545,0.6203,0.4733
173,283155,90296,0.0127,2.1689,2.683,0.7155,0.463
174,284571,146085,0.0269,3.0903,3.6442,0.701,0.5651
175,285917,116897,0.0199,2.8567,2.8573,0.7285,0.5565
176,286160,95263,0.013,2.3547,2.5462,0.7416,0.501
177,286429,52979,0.0052,1.7336,1.7301,0.5784,0.1025
178,286606,97201,0.007,2.4821,2.291,0.8489,0.2847
179,287681,117236,0.0168,2.4139,2.8105,0.6955,0.5326
180,300868,93252,0.0087,2.3803,2.0597,0.7479,0.3952
181,300937,80537,0.0101,1.9609,1.8047,0.6714,0.3717
182,302110,88001,0.0145,2.1604,2.6993,0.6819,0.5114
183,303030,105737,0.0173,2.4939,2.8509,0.7204,0.5111
184,304831,103838,0.0136,2.2069,2.3688,0.7167,0.5583
185,305899,108191,0.0138,2.2613,2.1566,0.7131,0.4852
186,306001,121311,0.0194,2.3691,2.5578,0.6988,0.4396
187,307137,124388,0.0127,2.5298,2.4546,0.8255,0.4026
188,308005,101349,0.015,2.1598,2.874,0.7281,0.6534
189,308167,111337,0.0196,2.6348,2.7017,0.6966,0.5519
190,312289,69715,0.0069,1.7026,1.8012,0.5917,0.1964
191,312698,106462,0.0121,2.3706,2.0064,0.6764,0.3558
192,315451,130362,0.0209,2.9268,2.9311,0.6615,0.4921
193,316372,58375,0.0042,1.553,1.9029,0.785,0.4328
194,317092,105624,0.0165,2.7343,2.8278,0.7571,0.4657
195,318006,87150,0.0048,2.1432,2.124,0.8587,0.2523
196,318942,95912,0.0099,2.4443,2.5853,0.8218,0.3376
197,318982,89810,0.0123,2.1882,2.6398,0.7567,0.4451
198,319719,131329,0.0155,2.6632,2.661,0.7222,0.514
199,322758,103394,0.0122,2.6061,2.4027,0.8268,0.3437
200,324707,107674,0.0123,2.1534,2.4019,0.7446,0.3881
201,330991,139635,0.018,2.5254,2.7198,0.7408,0.5045
202,331899,138154,0.0189,2.5996,2.7752,0.7073,0.4535
203,333244,122946,0.0185,2.8535,2.8071,0.699,0.5349
204,335554,94621,0.0163,2.301,2.6153,0.7175,0.5536
205,335608,100588,0.0101,2.5752,2.6371,0.8166,0.3037
206,340527,95537,0.0165,2.4175,2.5943,0.7267,0.5299
207,342052,122643,0.0193,2.863,2.8935,0.6712,0.4329
208,343549,123987,0.0134,2.4533,2.4506,0.7911,0.4276
209,343600,145026,0.0139,2.6138,2.8658,0.7848,0.4248
210,343776,120242,0.015,2.343,2.4988,0.627,0.4154
211,344595,147631,0.0143,2.6426,2.8263,0.763,0.4895
212,357113,100911,0.0219,2.452,2.5947,0.6403,0.5009
213,361851,111394,0.0148,2.0203,2.6636,0.6903,0.5717
214,365953,73782,0.0114,2.0777,2.2592,0.695,0.4025
215,365984,83518,0.0117,1.9486,2.3554,0.7127,0.3985
216,367761,109121,0.0138,2.5732,2.454,0.7953,0.4084
217,368650,100890,0.0176,2.3373,2.5069,0.6999,0.4428
218,368888,132596,0.0238,2.7431,2.7685,0.6788,0.4978
219,369028,120657,0.0186,2.3432,2.8194,0.6637,0.5914
220,370154,108525,0.0176,2.5008,2.7233,0.7403,0.4667
221,373475,102295,0.0159,2.3672,3.0185,0.7033,0.4543
222,374284,106409,0.0129,2.0976,2.2565,0.6081,0.5142
223,383624,112365,0.0121,1.3798,1.977,0.6382,0.5536
224,390464,125028,0.0189,2.8218,2.8358,0.7376,0.5868
225,391546,105798,0.0172,2.6118,2.6694,0.762,0.5044
226,395450,114581,0.015,2.5134,2.8099,0.759,0.4625
227,395535,115459,0.0199,2.4245,2.7731,0.686,0.5694
228,402176,140635,0.0207,2.7735,3.0054,0.7541,0.4788
229,403917,132824,0.0116,2.764,2.497,0.8069,0.4822
230,407184,51515,0.0016,1.3616,1.4987,0.8378,0.3122
231,407543,78129,0.0089,1.895,1.7922,0.7202,0.3305
232,407970,60856,0.0056,0.5819,1.5967,0.6406,0.5369
233,408103,85666,0.0066,1.8102,2.0877,0.8212,0.3146
234,408672,137584,0.014,2.5622,2.6381,0.8242,0.5258
235,418852,105181,0.0158,2.486,2.9484,0.7355,0.4286
236,419218,116723,0.0183,2.9327,3.0591,0.7065,0.4582
237,419622,94710,0.0134,2.4812,2.7462,0.7812,0.2986
238,420673,118129,0.0243,2.6649,3.3059,0.6513,0.5249
239,420882,108714,0.0212,2.6127,3.5039,0.7258,0.5271
240,420935,120743,0.0252,2.9824,3.4151,0.76,0.514
241,424158,129571,0.0258,2.789,3.7421,0.6214,0.5574
242,424415,128514,0.025,2.8361,3.5136,0.6771,0.5483
243,424777,115116,0.0203,2.5902,3.0589,0.6452,0.5852
244,425091,113252,0.019,2.7026,2.8876,0.6979,0.5571
245,425250,113290,0.019,2.7512,2.7069,0.744,0.4785
246,425520,118331,0.0199,2.7312,3.0045,0.6865,0.5534
247,425695,122256,0.021,2.7396,2.8661,0.7344,0.5337
248,425870,117902,0.0215,2.5401,2.9013,0.6775,0.5506
249,426772,57189,0.0072,1.6324,2.0658,0.7267,0.357
250,426821,64442,0.0066,1.884,2.0013,0.7723,0.3501
251,426954,80124,0.0098,2.6263,2.2009,0.7548,0.3188
252,427041,57864,0.0061,1.6151,1.8592,0.8068,0.4619
253,427109,73687,0.0102,1.9538,2.1972,0.7565,0.5523
254,427322,57803,0.0064,1.7252,1.8468,0.8079,0.4124
255,427536,85847,0.0133,2.0958,2.4454,0.6828,0.4723
256,427730,101895,0.0158,2.2959,2.9208,0.7147,0.4905
